"Crude oil production, per capita (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2.22960496585086,2.40122671510155,2.57055320819709,2.72884154215434,2.91520448778851,3.22642892442266,3.40903047417701,3.88080664524969,4.43581968961369,4.12588901366636,3.52496938929244,3.21593510606998,3.18943616570763,3.13609472458128,3.55762008281224,3.39649796400259,3.04247324639868,2.98065238355273,3.10921947490046,3.28188765739395,3.31565969377726,3.27447862519455,3.40033705251051,3.5294348379924,3.38893051596538,3.34855561919798,3.32295102303767,3.42278671720759,3.56324190182549,3.67789405231515,3.81905574403251,3.90280105891731,4.04365705978062,4.15381617302181,3.98227534651992,4.13961265516734,4.07131953791352,4.31548175623568,4.51258647574954,4.61973406012963,4.48915500006393,4.6999886745136,4.80881433371042,4.67775934255805,4.63436683046637,4.83202196471205,5.02565786676147
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135178559760579,0.932424941265277,0.930717849929904,0.797609686194288,0.726926858903589,0.62800797333509,0.565694432925638,0.57030008688195,0.518088160508036
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.015923066903988,0.019997222131586,0.018564122154444,0.020775231707952,0.027438798321992,0.037624773739004,0.047116828883955,0.053240598430761,0.061038015497337,0.07225794580657,0.084214810000968,0.093645442965255,0.099118622474535,0.108658863260869,0.109412774834596,0.107763592727967,0.101558437602922,0.101051402137929,0.103473793777954,0.110159770123117,0.118211676270966,0.121708855622665,0.122849519459506,0.123430748698859,0.121989096564208,0.120774166511442,0.121459389344179,0.120861415796848,0.12116725063889,0.121579072489053,0.122752589503438,0.129284356825017,0.129361407054581,0.128244528423536,0.127211535869193,0.12813636111754,0.128984687613681,0.129762512385017,0.131116003335509,0.133828545161574,0.138692110521407,0.140550976163319,0.14099186326144,0.143373567016527,0.141949769597148,0.151352180021441,0.151121430904376
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0.574191639435892,0.546684278656702,0.512392089970284,0.457719762983686,0.540522536691687,0.551337521841159,0.534075389516762,0.472588638140417,0.434443935169542,0.387409950895553,0.354725907602361,0.32392550827512,0.297624785806459,0.276474112253167,0.254162960221287,0.253066503685011,0.264013211778351,0.272075289057686,0.285583531121223,0.307202423896194,0.317447463984705,0.524061452176489,0.651119017220896,0.626520711813573,0.656123688296551,0.703949621291454,0.667007807908338,0.674509546111201,0.683764524144847,0.673806679973557,0.850829784483445,0.89890127151891,0.922240998330859,1.05124368170602,1.11772052236393,0.932516589668288,0.805895587832482,0.759698156742606,0.701099181620297,0.676338907910741,0.665280196864237,0.659970161517967,0.652868530947107,0.710950090497014,0.784710847782205,0.904989339288153,1.03802468906239
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",0.061317638320933,0.05208324582788,,,,,,0.236815508032697,1.42902931936242,1.62725570450892,1.15063548652457,1.31134437776709,0.994134063133275,1.43200453527033,1.5812892602864,1.76167848811506,2.21449557721872,2.38710658354873,2.73125564451015,2.97921766980181,2.85274694015622,2.77994868002655,2.86993258361626,3.11073335605168,3.42446457795259,3.36095829799632,3.28207151117917,3.42751119357383,3.68508694997044,3.59615908246419,3.39114416259927,3.68632206903767,4.00783024732249,4.57366137417016,4.49264380610508,4.18994868764467,3.7504533331589,3.73751563781451,3.32253363701512,3.35280151191242,3.57582978379589,3.94948085574138,3.0944890679726,3.1900323960136,3.61119094126835,3.73118110583072,3.678932401404
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,0.019593846889013,0.029154420003091,0.019342742881406,0.028890981880607,0.03848396079795,0.095643513505116,0.076319904293377,0.07618017996955,0.057230027961658,0.1426418604664,0.323438250961199,0.409349762229288,0.448963540497185,0.571777374425132,0.705127149033973,0.88570882101219,0.915846346487879,1.06390035280484,1.14695384332022,1.34235541831529,1.48332748885816,1.57702415505935,1.72970663774024,1.73198070060921,1.9340704051224,2.12375647430387,2.18847150841905,2.73861364120851,3.32204277783868,3.16625043655749,3.36643062793446,3.33053907006695,3.52896699427432,3.38998412115226,3.06215538419165,2.77338443225888,2.55306593476957,2.3354253870767,2.19031801348506,1.96084372915019
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.083318443157659,0.070757709024012,0.058864276582651,0.047742624800522,0.036974300709406,0.035896508050245,0.034856349784463,0.661935583410376,1.71813900771919,1.41355724790802,1.24921055696161,1.42126819901442,1.34512996869708,1.44702504565788,1.49004989531743,1.38568006958926,1.39040317812587,1.35332491727705,1.48544859932416,1.5739240584342,1.67462161577435,1.70172754290822,0.982313011513744,1.68505148323786,1.51991960134266,1.5128525914937,1.55378008912122,1.62752844931783,1.70962336923917,1.84377882017555,1.84452881570692,1.80652327114437,1.79073412465373,1.70916792029224,1.6738089194988,1.76482548067603,1.76086715311434,1.66819228006604,1.74715553049017,2.16207892722174,2.14518932260127,2.12610072455896,1.99869326883415,1.95029986608934,1.84693648066318,1.82107301256,1.84548872687552
Egypt,0.203895178489644,0.192009313172836,0.167016170672631,0.250404100309483,0.350385793424904,0.456639778719556,0.406844278828517,0.285279007126866,0.220753891070465,0.189846239574696,0.292383752104825,0.404792114756834,0.498072875020337,0.586884594770982,0.595206569696116,0.662477103329766,0.698572231080272,0.706800040574065,0.754610722262303,0.845974042371579,0.889603900542098,0.79258604206943,0.869890005155879,0.812621294300665,0.799771944368093,0.800428898581231,0.783712339298679,0.779349028577069,0.791847135099331,0.761845233492858,0.750646794001206,0.71418954901148,0.682122757547914,0.657824614942082,0.622371087432958,0.573553684972298,0.542111581878257,0.526686053729502,0.514137141998623,0.48582608238935,0.456853520430348,0.445291635121868,0.443323409092811,0.442269425375831,0.442319110457381,0.431834675962204,0.425886729029983
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24840143243333,0.598519587217606,0.578557514093387,0.783400136821821,1.84604113644845,6.28908815464259,8.42265361252756,9.82638958333569,8.68429150746378,16.31799069651,20.5744417485,23.0421133731475,29.5376912157757,29.1736854660947,27.0668823379018,26.94148738818,26.0136786463042,22.3348854581378,19.3694206619999,17.31966700843
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2.52052283414362,2.86101252558006,6.75525959217449,9.01229797092218,9.64247831065775,10.2412346135978,10.7368896925859,11.4223891876023,13.435530851141,17.5865926795506,19.0034883115531,18.5246682033002,17.9454834465777,16.4300328600657,14.7696593391188,13.0302750640527,10.8859718632055,10.7596815730787,10.5422655220089,11.3430392328831,10.8665801640191,10.1298996291199,9.14918173478145,10.2010497031577,11.3666296559336,14.5235317164741,15.3267245430796,14.5789976485162,14.8730228981829,15.9485539074762,16.3299540984451,16.3206538992949,15.8426911502452,14.3029842028769,14.0654026723851,13.2561682671213,11.8947247588399,11.4100231532422,9.10827000555604,8.74144733073396,8.53560404718949,8.39822023643916,8.0668513995175,8.112799243892,7.7726966552296,8.29173492593236,7.97337230151232
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,0.0060878277084,0.009163594517541,0.010936092357432,0.011050522124332,0.012414489525193,0.012293412178333,0.012679751559672,0.012714895311367,0.012127509640528,0.012327055667497,0.013314650599689,0.013593564594588,0.015614476684953,0.016874840125263,0.018774384244175,0.013426019099344,0.02090040447007,0.027117168423555,0.033806488309069,0.036751766271781,0.038498855904431,0.039426380893904,0.037428638757881,0.038541258880805,0.040257922102654,0.039106854110835,0.036079866248415,0.032070251612408,0.030030400428828,0.034212714606023,0.037996398038512,0.035417927694588,0.035565149347457,0.034065766358193,0.033402856546787,0.032416796057496,0.031817079376848,0.032370893481034,0.031998786420683,0.032358223489648,0.030356753269662,0.030920318510325,0.030780982409552,0.030343523526581,0.029341570204926,0.031766327555931,0.032562595089218
Indonesia,0.235583754952183,0.223975121829936,0.234889527242468,0.26962964183225,0.280907019175998,0.364251288641796,0.370919920621903,0.439513397469987,0.529112522225522,0.530443252843002,0.491642903480952,0.554119915899435,0.603723104205754,0.570065315047098,0.539640025904694,0.52403562534382,0.518307378231143,0.422061781331932,0.43836081693119,0.454701458230779,0.394599775606601,0.410385280932251,0.399527283527851,0.378017843952505,0.395315474491026,0.403770897650424,0.432140675959137,0.402757724259756,0.397110300557134,0.391577161695564,0.383422429096925,0.379350404474413,0.369208317585234,0.357009117630027,0.325739251267907,0.334918099354478,0.313874781268641,0.287705928941382,0.258423568937642,0.245967508668594,0.233796723111805,0.212669515442399,0.204515554152493,0.208456998071494,0.201932508729697,0.201486154929571,0.188217031406819
Iran,3.81677181693077,4.1522726993622,4.93445550641839,5.25435482893598,6.06404307345029,6.71924107273774,7.77278431604403,8.40166759300505,9.52639046884482,9.51469873876347,8.21725577180012,8.78887737760512,8.1950938735943,7.35639115850564,4.30979525842079,1.92236058639944,1.65349285039967,2.89147073068058,2.84796969590702,2.2888269584824,2.37328303287492,2.12817095615433,2.33205697112891,2.26561574230645,2.69170173945391,2.96677864032123,3.10979266080289,3.07843187050836,3.18074808063183,3.14553198835282,3.10350505706325,3.0689739854576,3.01768157416859,3.02199259090002,2.77103424814674,2.92521730507854,2.85379733713181,2.63157873123238,2.90873862431738,3.00251545163619,2.94113743910681,2.94531333532591,2.93393450536687,2.9461572220309,2.78915053769871,2.79964703165554,2.75201279846306
Iraq,7.62402541291067,7.82809688562991,6.6802183768723,7.92535615127302,7.73130168665067,7.61344110909713,8.05569423413658,6.76710702091178,8.99576088449979,8.52525178953459,9.47949994344517,9.82060385026491,9.22828905138911,9.75884222837209,12.8436567741431,9.53707520997918,3.15482945055342,3.35492796116261,3.67272134885897,3.99922457940986,4.51236453561594,5.89126278382284,7.25405643708639,8.27064250380784,8.20959959743559,6.06091380087778,0.780170607882507,1.41962616425279,1.1748721988181,1.26286426091792,1.28282896132168,1.36208103244585,2.63498922646214,4.6477828902003,5.54245960648142,5.39958059263803,5.04671370885292,4.1205559556998,2.54967769423713,3.75817011529231,3.29079284451287,3.48769842228292,3.63339922277892,4.00690818237618,3.90513371611058,3.83456673473556,4.19212705305076
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.044272973159286,0.035687194448894,0.032998120562646,0.030940821181946,0.030045528512461,0.028167021511128,0.025195475831086,0.022376729739702,0.020298266213947,0.020152835158899,0.022415617270923,0.023348945585634,0.022398876935411,0.026661009065656,0.030635502361396,0.030362227780706,0.026376418453098,0.031197905426071,0.03957820547436,0.040081414822806,0.04199242723645,0.045028144702784,0.06924963889437,0.085121434868992,0.081020974084692,0.082136347392408,0.076192407215562,0.079110428280061,0.081492836358169,0.085929659823699,0.09191118549824,0.095752700350846,0.104555769815586,0.098889173099007,0.088177875328863,0.080475441750249,0.072168817549764,0.096193199772093,0.096259644023887,0.09386620319292,0.104156713601558,0.097643787204585,0.098503673646648,0.087423120741433,0.07588999415655,0.084328959356606,0.087303240961222
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,1.43599474828964,1.45814412624611,1.48813223817686,1.52713846189991,1.54202725466392,1.56079854809437,1.61080523305808,1.57021193540002,1.41157986473382,1.26004048233645,1.2955663976052,1.46131651246291,1.66480611876792,1.69961865522923,1.99776268613452,2.36128385056216,2.69109268525687,3.23131590159465,3.50369327723003,4.02604259529948,4.12701718747374,4.31738259610733,4.41889629378681,4.60225565134464,4.93741948158132,5.09453577345383,5.08260447035957
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,245.787139494588,234.37920304804,214.890471555328,207.463672740261,202.276688462473,201.554200402203,200.384735573286,192.25688010503,165.244620090471,130.932950024051,100.924882573661,98.4790849801314,85.4840702732367,87.522843086482,99.0432278228946,63.0616944309348,40.5505686836757,28.1796066008697,34.7189303493917,36.5834400148928,31.8523821183773,32.3535775515968,26.9006243557332,31.0853355078739,32.8337153249541,22.4156158136576,4.53814139636536,28.0422947419816,53.776873923499,61.2468255240792,64.4316208233257,64.5688880633043,62.6122742686906,62.3709840531096,55.2204412382915,56.7120213068339,53.1718666523103,47.931331765629,54.4327499582398,56.3618630542516,57.5893009618112,56.9048235626444,53.0715720946492,53.2945385537989,45.7060834878879,44.8306062327915,49.6945339028577
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
