Natural Gas Proved reserves total (tonnes oil equivalent),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Pakistan,"40,50,00,000","41,85,00,000","43,29,00,000","45,90,00,000","46,80,00,000","56,07,00,000","57,15,00,000","56,34,00,000","58,59,00,000","58,50,00,000","57,78,00,000","68,04,00,000","57,33,00,000","58,59,00,000","53,28,00,000","53,64,00,000","53,01,00,000","53,55,00,000","55,08,00,000","63,18,00,000","60,93,00,000","67,05,00,000","68,40,00,000","71,10,00,000","71,82,00,000","76,68,00,000","76,23,00,000","76,50,00,000","76,68,00,000"
Papua New Guinea,-,-,-,-,-,"1,44,00,000","3,96,00,000","7,74,00,000","11,52,00,000","20,34,00,000","21,69,00,000","36,36,00,000","39,24,00,000","49,32,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","38,52,00,000","39,15,00,000","39,15,00,000","39,78,00,000"
Peru,"2,88,00,000","2,88,00,000","2,43,00,000","2,34,00,000","2,25,00,000","2,43,00,000","4,95,00,000","30,60,00,000","30,60,00,000","30,60,00,000","30,51,00,000","30,87,00,000","29,34,00,000","29,88,00,000","30,60,00,000","18,09,00,000","18,09,00,000","17,82,00,000","22,23,00,000","22,23,00,000","22,23,00,000","22,23,00,000","22,23,00,000","22,23,00,000","29,25,00,000","30,06,00,000","29,84,22,049","30,12,34,650","30,12,34,650"
Poland,"9,36,00,000","9,00,00,000","8,73,00,000","8,46,00,000","8,19,00,000","8,64,00,000","14,85,00,000","14,67,00,000","15,39,00,000","14,76,00,000","14,31,00,000","13,77,00,000","14,22,00,000","13,95,00,000","13,95,00,000","13,77,00,000","13,41,00,000","13,95,00,000","12,69,00,000","13,14,00,000","10,71,00,000","10,35,00,000","10,44,00,000","9,90,00,000","9,81,00,000","9,54,00,000","10,17,00,000","9,90,00,000","9,90,00,000"
Qatar,"2,52,00,00,000","2,54,70,00,000","2,83,05,00,000","3,06,00,00,000","3,85,20,00,000","3,99,60,00,000","3,99,60,00,000","3,99,60,00,000","4,15,89,00,000","4,15,80,00,000","4,15,35,00,000","5,78,52,00,000","6,04,17,00,000","6,36,30,00,000","6,36,30,00,000","7,65,00,00,000","7,65,00,00,000","7,65,00,00,000","9,81,00,00,000","10,04,13,00,000","12,99,87,00,000","23,20,47,00,000","23,20,47,00,000","22,80,87,00,000","22,82,49,00,000","23,07,24,00,000","22,98,84,85,326","22,91,84,26,607","22,91,84,26,607"
Romania,"27,00,00,000","25,20,00,000","22,95,00,000","20,70,00,000","18,90,00,000","24,30,00,000","21,15,00,000","17,82,00,000","14,85,00,000","11,97,00,000","9,45,00,000","43,29,00,000","41,94,00,000","40,05,00,000","38,25,00,000","36,63,00,000","35,01,00,000","33,66,00,000","32,40,00,000","31,32,00,000","30,15,00,000","28,98,00,000","27,99,00,000","27,45,00,000","26,55,00,000","56,52,00,000","56,52,00,000","56,52,00,000","56,61,00,000"
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"39,43,71,04,169","39,16,01,81,091","38,19,90,95,116","38,03,61,99,188","38,11,76,47,152","38,28,05,43,080","39,09,50,22,720","38,93,21,26,792","38,94,84,16,385","38,94,35,29,507","38,98,37,64,801","38,97,15,47,607"
Saudi Arabia,"2,86,49,07,000","3,01,14,72,000","3,08,89,53,000","3,18,95,73,000","3,24,72,09,000","3,31,83,00,000","3,61,89,00,000","3,77,05,50,000","4,51,80,00,000","4,69,65,60,000","4,70,04,30,000","4,69,85,40,000","4,72,39,20,000","4,72,39,20,000","4,73,40,00,000","4,99,00,50,000","5,12,39,70,000","5,29,38,00,000","5,46,12,00,000","5,53,14,00,000","5,67,09,00,000","5,81,00,04,000","5,98,14,00,000","6,07,86,00,000","6,08,13,00,000","6,13,98,00,000","6,36,57,00,000","6,57,40,00,252","6,81,24,64,941"
Syria,"8,10,00,000","8,10,00,000","9,27,00,000","9,36,00,000","9,36,00,000","11,16,00,000","12,78,00,000","11,25,00,000","10,17,00,000","14,13,00,000","16,38,00,000","18,00,00,000","18,00,00,000","20,43,00,000","21,15,00,000","21,15,00,000","21,15,00,000","21,42,00,000","21,42,00,000","21,69,00,000","21,69,00,000","21,69,00,000","22,50,00,000","26,10,00,000","26,10,00,000","26,10,00,000","26,10,00,000","25,56,00,000","25,56,00,000"
Thailand,"26,28,00,000","36,18,00,000","31,50,00,000","15,12,00,000","18,90,00,000","19,62,00,000","18,36,00,000","16,56,00,000","17,55,00,000","20,61,00,000","20,16,00,000","22,14,00,000","20,79,00,000","16,29,00,000","15,75,00,000","15,84,00,000","17,64,00,000","18,45,00,000","37,80,00,000","31,05,00,000","32,40,00,000","34,02,00,000","39,69,00,000","37,62,00,000","31,86,00,000","27,36,00,000","29,79,00,000","28,53,00,000","27,36,00,000"
Trinidad and Tobago,"26,73,00,000","30,60,00,000","30,06,00,000","28,53,00,000","27,99,00,000","28,53,00,000","27,81,00,000","27,27,00,000","26,46,00,000","25,74,00,000","22,68,00,000","21,42,00,000","20,97,00,000","20,70,00,000","25,74,00,000","31,41,00,000","41,04,00,000","46,53,00,000","50,40,00,000","54,45,00,000","50,13,00,000","51,84,00,000","53,01,00,000","47,88,00,000","47,88,00,000","47,70,00,000","43,20,00,000","43,31,71,350","43,31,71,350"
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,36,19,90,956","2,25,61,08,603","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","2,18,28,05,435","7,14,99,90,968"
Ukraine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"85,52,03,622","91,62,89,595","90,81,44,799","90,40,72,400","90,40,72,400","90,40,72,400","90,00,00,002","90,40,72,400","89,59,27,604","89,59,27,604","83,89,14,029","83,07,69,233"
United Arab Emirates,"2,13,30,00,000","2,27,61,00,000","2,67,57,00,000","2,74,41,00,000","2,79,72,00,000","2,83,32,00,000","4,87,27,80,000","5,11,56,00,000","5,09,67,00,000","5,08,50,00,000","5,06,07,00,000","5,21,37,00,000","5,21,55,00,000","5,21,55,00,000","6,09,93,00,000","5,27,31,00,000","5,20,56,00,000","5,45,67,00,000","5,39,64,00,000","5,39,55,00,000","5,39,46,00,000","5,45,22,00,000","5,44,86,00,000","5,44,23,00,000","5,47,47,00,000","5,50,35,00,000","5,79,69,00,000","5,79,33,00,000","5,78,88,00,000"
United Kingdom,"66,51,00,000","59,76,00,000","56,97,00,000","64,08,00,000","65,25,00,000","58,32,00,000","57,06,00,000","57,96,00,000","53,10,00,000","50,40,00,000","49,05,00,000","48,60,00,000","54,90,00,000","56,70,00,000","59,40,00,000","63,00,00,000","68,40,00,000","68,85,00,000","67,95,00,000","1,13,85,00,000","1,07,73,00,000","99,00,00,000","89,82,00,000","81,45,00,000","74,34,00,000","43,29,00,000","37,08,00,000","30,87,00,000","30,87,00,000"
United States,"5,07,20,83,023","5,14,11,22,335","5,13,55,66,569","5,10,33,27,836","5,03,23,77,136","4,92,80,40,871","4,88,26,00,822","4,77,11,03,225","4,28,21,19,364","4,25,89,78,834","4,31,58,10,752","4,25,76,02,635","4,20,54,34,502","4,13,91,73,073","4,17,54,12,978","4,20,87,73,059","4,24,26,17,358","4,26,17,05,747","4,18,06,11,952","4,26,63,69,532","4,52,17,56,370","4,67,55,08,371","4,76,43,49,656","4,81,78,17,532","4,90,62,25,570","5,20,87,85,449","5,37,95,36,054","6,05,84,86,335","6,05,84,86,335"
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,42,53,39,370","1,42,53,39,370","1,42,53,39,370","1,50,67,87,334","1,50,67,87,334","1,50,67,87,334","1,51,49,32,130","1,51,49,32,130","1,50,67,87,334","1,52,30,76,927","1,42,94,11,768","1,42,12,66,972"
Venezuela,"1,13,61,69,000","1,22,85,90,000","1,32,40,98,000","1,40,60,97,000","1,49,96,70,000","1,56,13,20,000","2,35,98,00,000","2,55,42,00,000","2,57,04,00,000","2,69,34,30,000","3,08,61,00,000","3,22,36,20,000","3,32,37,00,000","3,32,37,00,000","3,56,85,45,000","3,65,82,30,000","3,64,63,50,000","3,70,87,20,000","3,73,27,17,600","3,73,71,76,200","3,73,71,76,200","3,76,20,00,000","3,76,29,00,000","3,79,71,00,000","3,85,83,00,000","3,88,35,00,000","4,23,72,00,000","4,35,42,00,000","4,35,42,00,000"
Vietnam,-,-,-,-,-,-,-,-,-,-,"1,35,00,000","1,35,00,000","9,54,00,000","9,54,00,000","12,06,00,000","13,23,00,000","15,39,00,000","15,30,00,000","15,30,00,000","15,30,00,000","15,30,00,000","17,37,00,000","20,70,00,000","19,80,00,000","19,80,00,000","19,80,00,000","19,80,00,000","42,97,03,174","50,13,20,370"
"Yemen, Rep.",-,-,-,-,-,-,"1,53,00,000","10,17,00,000","14,04,00,000","17,82,00,000","22,05,00,000","35,64,00,000","38,61,00,000","38,61,00,000","38,61,00,000","38,25,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,11,00,000","43,65,00,000","43,92,00,000","44,10,00,000"
